epoch,train_loss,val_loss,val_accuracy,epoch_time_s
1,4.601099,4.370886,0.000000,4.02
2,4.327627,4.290346,0.082250,3.62
3,4.279707,4.263888,0.124250,3.61
4,4.261310,4.251925,0.170250,3.60
5,4.250862,4.241614,0.207250,3.60
6,4.242618,4.235495,0.224250,3.61
7,4.235822,4.227978,0.239000,3.60
8,4.229552,4.222902,0.252750,3.61
9,4.224310,4.217200,0.292250,3.61
10,4.219660,4.214159,0.275500,3.60
11,4.216655,4.211639,0.325750,3.61
12,4.213676,4.208107,0.336250,3.62
13,4.211299,4.205519,0.348000,3.60
14,4.209368,4.204650,0.357500,3.60
15,4.207287,4.202889,0.363000,3.60
16,4.205484,4.202150,0.381500,3.61
17,4.204344,4.202076,0.367500,3.61
18,4.202732,4.199009,0.373750,3.61
19,4.201541,4.199054,0.382750,3.61
20,4.200522,4.196798,0.414000,3.61
21,4.199591,4.195934,0.431500,3.61
22,4.198241,4.194070,0.408750,3.60
23,4.197175,4.193663,0.414750,3.61
24,4.196675,4.192219,0.455500,3.61
25,4.195420,4.192457,0.448500,3.61
26,4.194766,4.191837,0.479750,3.61
27,4.194056,4.191058,0.458000,3.61
28,4.193366,4.190012,0.483000,3.61
29,4.192735,4.189291,0.483000,3.61
30,4.191568,4.188598,0.481750,3.61
